Model,Company,Function,Total Para,Activate Para,On/Off Line,Reasoning
gpt-5,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
gpt-5-mini,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
gpt-5-nano,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
gpt-5-pro,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
gpt-5.1,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
gpt-5.2,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
gpt-5.2-pro,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
gpt-5.4,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
gpt-5.4-mini,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
gpt-5.4-nano,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
gpt-5.4-pro,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
gpt-5.5,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
GPT-5.5 Instant,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: ChatGPT,No
GPT-5.5 Thinking,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: ChatGPT / API,Yes
gpt-5.5-pro,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
GPT-5.6 Sol,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: ChatGPT,Yes
GPT-5.6 Sol Pro,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: ChatGPT,Yes
gpt-5.6-luna,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
gpt-5.6-sol,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
gpt-5.6-terra,OpenAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
gpt-oss-120b,OpenAI,General-Purpose,117B,5.1B/token,Offline: Open Weight,Yes
gpt-oss-20b,OpenAI,General-Purpose,21B,3.6B/token,Offline: Open Weight,Yes
gpt-5.3-codex,OpenAI,Coding,Undisclosed,Undisclosed,Online: Codex / API,Yes
gpt-image-2,OpenAI,Image Generation,Undisclosed,Undisclosed,Online: ChatGPT / API,No
gpt-audio-1.5,OpenAI,Speech & Audio,Undisclosed,Undisclosed,Online: API,No
gpt-live-transcribe,OpenAI,Speech & Audio,Undisclosed,Undisclosed,Online: Realtime API,No
gpt-realtime-1.5,OpenAI,Speech & Audio,Undisclosed,Undisclosed,Online: Realtime API,No
gpt-realtime-2,OpenAI,Speech & Audio,Undisclosed,Undisclosed,Online: Realtime API,Yes
gpt-realtime-2.1,OpenAI,Speech & Audio,Undisclosed,Undisclosed,Online: Realtime API,Yes
gpt-realtime-2.1-mini,OpenAI,Speech & Audio,Undisclosed,Undisclosed,Online: Realtime API,Yes
gpt-realtime-translate,OpenAI,Speech & Audio,Undisclosed,Undisclosed,Online: Realtime API,No
gpt-realtime-whisper,OpenAI,Speech & Audio,Undisclosed,Undisclosed,Online: Realtime API,No
whisper-base,OpenAI,Speech & Audio,74M,74M,Offline: Open Weight,No
whisper-base.en,OpenAI,Speech & Audio,74M,74M,Offline: Open Weight,No
whisper-large-v1,OpenAI,Speech & Audio,1.55B,1.55B,Offline: Open Weight,No
whisper-large-v2,OpenAI,Speech & Audio,1.55B,1.55B,Offline: Open Weight,No
whisper-large-v3,OpenAI,Speech & Audio,1.55B,1.55B,Offline: Open Weight,No
whisper-medium,OpenAI,Speech & Audio,769M,769M,Offline: Open Weight,No
whisper-medium.en,OpenAI,Speech & Audio,769M,769M,Offline: Open Weight,No
whisper-small,OpenAI,Speech & Audio,244M,244M,Offline: Open Weight,No
whisper-small.en,OpenAI,Speech & Audio,244M,244M,Offline: Open Weight,No
whisper-tiny,OpenAI,Speech & Audio,39M,39M,Offline: Open Weight,No
whisper-tiny.en,OpenAI,Speech & Audio,39M,39M,Offline: Open Weight,No
whisper-turbo,OpenAI,Speech & Audio,798M,798M,Offline: Open Weight,No
text-embedding-3-large,OpenAI,Embedding,Undisclosed,Undisclosed,Online: API,No
text-embedding-3-small,OpenAI,Embedding,Undisclosed,Undisclosed,Online: API,No
text-embedding-ada-002,OpenAI,Embedding,Undisclosed,Undisclosed,Online: API,No
omni-moderation-latest,OpenAI,Safety & Moderation,Undisclosed,Undisclosed,Online: API,No
claude-fable-5,Anthropic,General-Purpose,Undisclosed,Undisclosed,Online: Claude.ai / API (Active),Yes
claude-haiku-4-5-20251001,Anthropic,General-Purpose,Undisclosed,Undisclosed,Online: API (Active),Yes
claude-opus-4-5-20251101,Anthropic,General-Purpose,Undisclosed,Undisclosed,Online: API (Active),Yes
claude-opus-4-6,Anthropic,General-Purpose,Undisclosed,Undisclosed,Online: API (Active),Yes
claude-opus-4-7,Anthropic,General-Purpose,Undisclosed,Undisclosed,Online: API (Active),Yes
claude-opus-4-8,Anthropic,General-Purpose,Undisclosed,Undisclosed,Online: API (Active),Yes
claude-opus-5,Anthropic,General-Purpose,Undisclosed,Undisclosed,Online: Claude.ai / API (Active),Yes
claude-sonnet-4-5-20250929,Anthropic,General-Purpose,Undisclosed,Undisclosed,Online: API (Active),Yes
claude-sonnet-4-6,Anthropic,General-Purpose,Undisclosed,Undisclosed,Online: API (Active),Yes
claude-sonnet-5,Anthropic,General-Purpose,Undisclosed,Undisclosed,Online: Claude.ai / API (Active),Yes
antigravity-preview-05-2026,Google,General-Purpose,Undisclosed,Undisclosed,Online: Gemini API (Preview),Yes
deep-research-max-preview-04-2026,Google,General-Purpose,Undisclosed,Undisclosed,Online: Gemini API (Preview),Yes
deep-research-preview-04-2026,Google,General-Purpose,Undisclosed,Undisclosed,Online: Gemini API (Preview),Yes
gemini-2.5-computer-use-preview-10-2025,Google,General-Purpose,Undisclosed,Undisclosed,Online: Gemini API (Preview),Yes
gemini-2.5-flash,Google,General-Purpose,Undisclosed,Undisclosed,Online: Gemini API (Stable),Yes
gemini-2.5-flash-lite,Google,General-Purpose,Undisclosed,Undisclosed,Online: Gemini API (Stable),Yes
gemini-2.5-pro,Google,General-Purpose,Undisclosed,Undisclosed,Online: Gemini API (Stable),Yes
gemini-3-flash-preview,Google,General-Purpose,Undisclosed,Undisclosed,Online: Gemini API (Preview),Yes
gemini-3.1-flash-lite,Google,General-Purpose,Undisclosed,Undisclosed,Online: Gemini API (Stable),Yes
gemini-3.1-pro-preview,Google,General-Purpose,Undisclosed,Undisclosed,Online: Gemini API (Preview),Yes
gemini-3.5-flash,Google,General-Purpose,Undisclosed,Undisclosed,Online: Gemini API (Stable),Yes
