display_name,Model,Company,Function,input_modalities,input_modalities_source,input_modalities_source_url,Total Para,Activate Para,On/Off Line,Reasoning,access_mode,lifecycle,is_open_weight,weights,price_status,official_price
Functiongemma 270M IT,google/functiongemma-270m-it,Google,General-Purpose,text,official_family_catalog,https://huggingface.co/google/models,0.27,0.27,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Gemma 1 2B IT,google/gemma-1-2b-it,Google,General-Purpose,text,official_family_catalog,https://huggingface.co/google/models,2,2,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Gemma 1 7B IT,google/gemma-1-7b-it,Google,General-Purpose,text,official_family_catalog,https://huggingface.co/google/models,7,7,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Gemma 2 2B IT,google/gemma-2-2b-it,Google,General-Purpose,text,modelsdev,https://models.dev,2,2,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Gemma 3 1B IT,google/gemma-3-1b-it,Google,General-Purpose,text,official_family_catalog,https://huggingface.co/google/models,1,1,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Gemma 3 270M IT,google/gemma-3-270m-it,Google,General-Purpose,text,official_family_catalog,https://huggingface.co/google/models,0.27,0.27,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Gemma 3n E2B IT,google/gemma-3n-E2B-it,Google,General-Purpose,text | image,modelsdev,https://models.dev,,2,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Paligemma2 10B,google/paligemma2-10b,Google,General-Purpose,text | image,official_model_doc,https://huggingface.co/google/paligemma2-10b-mix-224,10,10,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Paligemma2 28B,google/paligemma2-28b,Google,General-Purpose,text | image,official_model_doc,https://huggingface.co/google/paligemma2-28b-mix-224,28,28,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Paligemma2 3B,google/paligemma2-3b,Google,General-Purpose,text | image,official_model_doc,https://huggingface.co/google/paligemma2-3b-mix-224,3,3,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
MedGemma 1.5 4B,MedGemma-1.5-4B,Google,General-Purpose,text | image,official_model_doc,https://huggingface.co/google/medgemma-1.5-4b-it,4,4,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
MedGemma 27B,MedGemma-27B,Google,General-Purpose,text | image,official_model_doc,https://huggingface.co/google/medgemma-27b-it,27,27,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
TranslateGemma 12B,TranslateGemma-12B,Google,General-Purpose,text,official_family_catalog,https://huggingface.co/google/models,12,12,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
TranslateGemma 27B,TranslateGemma-27B,Google,General-Purpose,text,official_family_catalog,https://huggingface.co/google/models,27,27,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
TranslateGemma 4B,TranslateGemma-4B,Google,General-Purpose,text,official_family_catalog,https://huggingface.co/google/models,4,4,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Qwen2.5 0.5B Instruct,Qwen/Qwen2.5-0.5B-Instruct,Alibaba / Qwen,General-Purpose,text,official_family_catalog,https://huggingface.co/Qwen/models,0.5,0.5,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Qwen2.5 1.5B Instruct,Qwen/Qwen2.5-1.5B-Instruct,Alibaba / Qwen,General-Purpose,text,official_family_catalog,https://huggingface.co/Qwen/models,1.5,1.5,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Qwen2.5 3B Instruct,Qwen/Qwen2.5-3B-Instruct,Alibaba / Qwen,General-Purpose,text,official_family_catalog,https://huggingface.co/Qwen/models,3,3,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Qwen2.5 Omni 3B,Qwen/Qwen2.5-Omni-3B,Alibaba / Qwen,General-Purpose,text | image | audio | video,official_model_doc,https://huggingface.co/Qwen/Qwen2.5-Omni-3B,3,3,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Qwen2.5 VL 3B Instruct,Qwen/Qwen2.5-VL-3B-Instruct,Alibaba / Qwen,General-Purpose,text | image | video,official_model_doc,https://huggingface.co/Qwen/Qwen2.5-VL-3B-Instruct,3,3,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Qwen3 0.6B,Qwen/Qwen3-0.6B,Alibaba / Qwen,General-Purpose,text,official_family_catalog,https://huggingface.co/Qwen/models,0.6,0.6,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Qwen3 1.7B,Qwen/Qwen3-1.7B,Alibaba / Qwen,General-Purpose,text,official_family_catalog,https://huggingface.co/Qwen/models,1.7,1.7,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Qwen3 Omni 30B A3B Captioner,Qwen/Qwen3-Omni-30B-A3B-Captioner,Alibaba / Qwen,General-Purpose,text | image | audio | video,official_model_doc,https://huggingface.co/Qwen/Qwen3-Omni-30B-A3B-Captioner,30,3,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
MiniMax M1 40K,MiniMaxAI/MiniMax-M1-40k,MiniMax,General-Purpose,text,official_family_catalog,https://platform.minimax.io/docs/api-reference/api-overview,456,,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
MiniMax VL 01,MiniMaxAI/MiniMax-VL-01,MiniMax,General-Purpose,text | image,official_model_doc,https://huggingface.co/MiniMaxAI/MiniMax-VL-01,456,45.9,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Hunyuan T1,Hunyuan-T1,Tencent / Hunyuan,General-Purpose,text,modelsdev,https://models.dev,,,Offline: Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Hunyuan 0.5B Instruct,tencent/Hunyuan-0.5B-Instruct,Tencent / Hunyuan,General-Purpose,text,official_family_catalog,https://cloud.tencent.com/document/product/1823,0.5,0.5,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Hunyuan 1.8B Instruct,tencent/Hunyuan-1.8B-Instruct,Tencent / Hunyuan,General-Purpose,text,official_family_catalog,https://cloud.tencent.com/document/product/1823,1.8,1.8,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Hunyuan 4B Instruct,tencent/Hunyuan-4B-Instruct,Tencent / Hunyuan,General-Purpose,text,official_family_catalog,https://cloud.tencent.com/document/product/1823,4,4,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
