Group,PrimaryCategory,Subcategory,Repository,GitHubURL,Coverage,MaintenanceStatus,UpdateMode,Priority,Notes
Core Technology,Language,LLM Agents,js-lee-AI/awesome-llm-agent-papers,https://github.com/js-lee-AI/awesome-llm-agent-papers,LLM agents; planning; memory; tool use; multi-agent; evaluation; safety,2026-07 active; 451+ papers,Frequent curated updates,Tier 1,Broad agent-paper source
Core Technology,Language,LLM Agents,VoltAgent/awesome-ai-agent-papers,https://github.com/VoltAgent/awesome-ai-agent-papers,Agent papers; memory; RAG; workflows; evaluation,2026-focused,Recurring curated updates,Tier 2,Complementary agent feed
Core Technology,Language,Reasoning,atfortes/awesome-llm-reasoning,https://github.com/atfortes/awesome-llm-reasoning,CoT; reasoning; multimodal reasoning; small reasoning models,Current curated collection,Manual/PR,Tier 1,Reasoning-focused source
Core Technology,Language,Diffusion LLM,AIDASLab/Awesome-Diffusion-LLM,https://github.com/AIDASLab/Awesome-Diffusion-LLM,Large-language diffusion models; discrete/continuous diffusion; reasoning; multimodal; systems,Active-2026 (verified 2026-08-23),Manual/PR,Tier 1,Replacement for obsolete AIDASLab repository; extensive 2026 coverage
Core Technology,Language,Diffusion LLM,VILA-Lab/Awesome-DLMs,https://github.com/VILA-Lab/Awesome-DLMs,Diffusion language models; surveys; training; inference; benchmarks; multimodal DLMs,Active-2026 (verified 2026-08-26),Manual/PR,Tier 1,Replacement for obsolete ML-GSAI repository; official survey companion
Core Technology,Vision,General Computer Vision,mawady/awesome-computer-vision-resources,https://github.com/mawady/awesome-computer-vision-resources,Detection; segmentation; recognition; ViT; vision foundation models,Recently maintained,Manual/PR,Tier 1,Broad pure-vision source
Core Technology,Vision,Vision Foundation Models,umitkacar/awesome-vision-models,https://github.com/umitkacar/awesome-vision-models,SAM; DINO; ViT; detection; segmentation; open-vocabulary vision,Mostly 2024-2025 coverage,Manual/PR,Tier 2,Foundation-model oriented
Core Technology,Vision-Language,General VLM,zli12321/Vision-Language-Models-Overview,https://github.com/zli12321/Vision-Language-Models-Overview,VLM/MLLM models; trends; architectures; training; evaluation,Continuous updates; includes 2026 models,Continuous curation,Tier 1,Strong broad VLM source
Core Technology,Vision-Language,General VLM,jingyi0000/VLM_survey,https://github.com/jingyi0000/VLM_survey,CLIP; pretraining; grounding; multimodal recognition; prompt tuning,Updated into late 2025,Manual/PR,Tier 2,Useful taxonomy/history source
Core Technology,Vision-Language,Multimodal Modeling,OpenEnvision/Awesome-Multimodal-Modeling,https://github.com/OpenEnvision/Awesome-Multimodal-Modeling,MLLM; multimodal fusion; image/video understanding; reasoning,Active in 2026,Continuous curation,Tier 1,Broad multimodal source
Core Technology,Vision-Language,MLLM Overview,BradyFU/Awesome-Multimodal-Large-Language-Models,https://github.com/BradyFU/Awesome-Multimodal-Large-Language-Models,MLLM papers; datasets; benchmarks; instruction tuning,Large long-running collection,Manual/PR,Tier 1,Classic MLLM collection
Core Technology,Vision-Language,Benchmarks,lchen1019/awesome-mllm-benchmarks,https://github.com/lchen1019/awesome-mllm-benchmarks,130+ multimodal LLM benchmarks; benchmark metadata; model coverage; interactive explorer,Active-2026 (verified 2026-08-14),Manual/PR,Tier 1,Replacement for obsolete BradyFU benchmark repository
Core Technology,Image Generation,Diffusion / T2I / Editing,wangkai930418/awesome-diffusion-categorized,https://github.com/wangkai930418/awesome-diffusion-categorized,Text-to-image; editing; personalization; controllable generation; diffusion methods,Large history; 700+ commits reported,Manual/PR,Tier 1,Broad image-diffusion source
Core Technology,Image Generation,General Diffusion,huan-yin/Awesome-Image-Generation-Model,https://github.com/huan-yin/Awesome-Image-Generation-Model,Open image-generation models; diffusion; autoregressive and hybrid architectures; release metadata,Active-2026 (verified 2026-08-27),Manual/PR,Tier 1,Replacement for obsolete dmarx source; includes a dedicated 2026 model section
Core Technology,Image Generation,General Diffusion,diff-usion/Awesome-Diffusion-Models,https://github.com/diff-usion/Awesome-Diffusion-Models,Diffusion models and resources,General curated list,Manual/PR,Tier 3,Secondary source
Core Technology,Image Generation,Low-Level / Restoration,lixinustc/Awesome-diffusion-model-for-image-processing,https://github.com/lixinustc/Awesome-diffusion-model-for-image-processing,Diffusion models for restoration; enhancement; image processing; compression; quality assessment,Active-2026 (README update 2026-03),Manual/PR,Tier 2,Replacement for obsolete AgaMiko source; specialist low-level vision collection
Core Technology,Video,Video Generation,kongzhecn/awesome-video-generation,https://github.com/kongzhecn/awesome-video-generation,T2V; I2V; editing; long video; control; world simulation; human animation,Daily arXiv cs.CV updates; 2026,Daily automated,Tier 1,Excellent machine-readable upstream
Core Technology,Video,Video Generation,AlonzoLeeeooo/awesome-video-generation,https://github.com/AlonzoLeeeooo/awesome-video-generation,T2V; I2V; personalized video; editing; audio-to-video; human animation,Includes 2026 papers,Manual/PR,Tier 2,Complementary coverage
Core Technology,Video,Post-training & Alignment,people-robots/Awesome-Video-Generation-Post-Training,https://github.com/people-robots/Awesome-Video-Generation-Post-Training,Reward models; RL; alignment; post-training; controllable video,Updated with 2026 work,Continuous curated,Tier 1,Strong specialist source
Core Technology,Audio & Speech,Audio LLM / Speech / Music,AudioLLMs/Awesome-Audio-LLM,https://github.com/AudioLLMs/Awesome-Audio-LLM,Audio LLMs; ASR; TTS; music; audio generation; benchmarks,112+ entries; latest 2026-04,Structured curation,Tier 1,Broad audio-AI source
Core Technology,Audio & Speech,Audio Foundation Models,metame-ai/awesome-audio-plaza,https://github.com/metame-ai/awesome-audio-plaza,Audio language models; speech-to-speech; codecs; evaluation,Recently maintained,Manual/PR,Tier 2,Audio foundation-model supplement
