display_name,Model,Company,Function,input_modalities,input_modalities_source,input_modalities_source_url,Total Para,Activate Para,On/Off Line,Reasoning,access_mode,lifecycle,is_open_weight,weights,price_status,price_kind,currency,context_tier,official_price,text_official_input_per_1m_usd,text_official_output_per_1m_usd,text_official_provider,text_official_source_url,text_cheapest_input_per_1m_usd,text_cheapest_input_seller,text_cheapest_input_seller_url,text_cheapest_input_provider,text_cheapest_input_source_url,text_cheapest_output_per_1m_usd,text_cheapest_output_seller,text_cheapest_output_seller_url,text_cheapest_output_provider,text_cheapest_output_source_url,text_quote_count,fetched_at
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,official,USD,,got,5,,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,2.5,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,10,azure,https://ai.azure.com/explore/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,10,2026-08-26
Gemini 2.5 Flash Image,gemini-2.5-flash-image,Google,Image Generation,text | image,modelsdev,https://models.dev,,,Online: Gemini API,No,online,stable,0,proprietary,got,official,USD,32768,got,0.3,2.5,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.3,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2.5,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,14,2026-08-26
Gemini 3 Pro Image,gemini-3-pro-image,Google,Image Generation,text | image,modelsdev,https://models.dev,,,Online: Gemini API (Stable),Yes,online,stable,0,proprietary,got,official,USD,65536,got,2,12,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1.8,requesty,https://requesty.ai,Requesty,https://router.requesty.ai/v1/models/managed,10.8,requesty,https://requesty.ai/solution/llm-routing/models,models.dev,https://models.dev/api.json,16,2026-08-26
Gemini 3.1 Flash Image,gemini-3.1-flash-image,Google,Image Generation,text | image | video | pdf,modelsdev,https://models.dev,,,Online: Gemini API (Stable),No,online,stable,0,proprietary,got,official,USD,65536,got,0.5,3,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.45,requesty,https://requesty.ai,Requesty,https://router.requesty.ai/v1/models/managed,1.8,requesty,https://requesty.ai,Requesty,https://router.requesty.ai/v1/models/managed,15,2026-08-26
Gemini 3.1 Flash Lite Image,gemini-3.1-flash-lite-image,Google,Image Generation,text | image,modelsdev,https://models.dev,,,Online: Gemini API (Stable),No,online,stable,0,proprietary,got,official,USD,65536,got,0.25,1.5,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.25,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1.5,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,10,2026-08-26
Qwen-Image,Qwen/Qwen-Image,Alibaba / Qwen,Image Generation,text | image,modelsdev,https://models.dev,20,20,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,8192,weight open source,,,,,0.5,regolo-ai,https://docs.regolo.ai/,models.dev,https://models.dev/api.json,2,regolo-ai,https://docs.regolo.ai/,models.dev,https://models.dev/api.json,1,2026-08-26
Qwen-Image 2512,Qwen/Qwen-Image-2512,Alibaba / Qwen,Image Generation,text | image,modelsdev,https://models.dev,20,20,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,8192,weight open source,,,,,0.5,regolo-ai,https://docs.regolo.ai/,models.dev,https://models.dev/api.json,2,regolo-ai,https://docs.regolo.ai/,models.dev,https://models.dev/api.json,1,2026-08-26
Doubao Seedream 5.0 pro,Doubao Seedream 5.0 pro,ByteDance / Doubao-Seed,Image Generation,text,modelsdev,https://models.dev,,,Online: Volcano Ark API,No,online,stable,0,proprietary,got,hosted,USD,,None,,,,,0.003,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,0.075,empiriolabs,https://docs.empiriolabs.ai/models-pricing,Empirio Labs,https://api.empiriolabs.ai/v1/models,2,2026-08-26
MAI-Image 2 Efficient,MAI-Image-2-Efficient,Microsoft,Image Generation,text,official_model_doc,https://learn.microsoft.com/azure/foundry/foundry-models/how-to/use-foundry-models-mai-image,,,Online: Microsoft Foundry,No,online,stable,0,proprietary,got,hosted,USD,,None,,,,,5,azure_ai,https://ai.azure.com/explore/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,,,,,,1,2026-08-26
GPT Image 1,gpt-image-1,OpenAI,Image Generation,text | image,official_model_doc,https://platform.openai.com/docs/models/gpt-image-1,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,official,USD,,got,5,,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,2.5,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,40,azure,https://ai.azure.com/explore/models,models.dev,https://models.dev/api.json,7,2026-08-26
