display_name,Model,Company,Function,input_modalities,input_modalities_source,input_modalities_source_url,Total Para,Activate Para,On/Off Line,Reasoning,access_mode,lifecycle,is_open_weight,weights,price_status,price_kind,currency,context_tier,image_quality_tier,official_price,image_official_per_image_usd,image_official_provider,image_official_source_url,image_cheapest_per_image_usd,image_cheapest_derived_marker,image_cheapest_derived_note,image_cheapest_seller,image_cheapest_seller_url,image_cheapest_provider,image_cheapest_source_url,image_quote_count,fetched_at
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,,None,,,,0.012,,,empiriolabs,https://docs.empiriolabs.ai/models-pricing,Empirio Labs,https://api.empiriolabs.ai/v1/models,4,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,low / 1024-x-1536,None,,,,0.005,≈,按张价由数据源换算得出：LiteLLM 把「low / 1024-x-1536」这一档的用量折算为 $0.005/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/low/1024-x-1536/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,low / 1024-x-768,None,,,,0.005,≈,按张价由数据源换算得出：LiteLLM 把「low / 1024-x-768」这一档的用量折算为 $0.005/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/low/1024-x-768/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,low / 1920-x-1080,None,,,,0.005,≈,按张价由数据源换算得出：LiteLLM 把「low / 1920-x-1080」这一档的用量折算为 $0.005/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/low/1920-x-1080/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,low / 1024-x-1024,None,,,,0.006,≈,按张价由数据源换算得出：LiteLLM 把「low / 1024-x-1024」这一档的用量折算为 $0.006/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/low/1024-x-1024/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,low / 2560-x-1440,None,,,,0.007,≈,按张价由数据源换算得出：LiteLLM 把「low / 2560-x-1440」这一档的用量折算为 $0.007/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/low/2560-x-1440/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,low / 3840-x-2160,None,,,,0.012,≈,按张价由数据源换算得出：LiteLLM 把「low / 3840-x-2160」这一档的用量折算为 $0.012/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/low/3840-x-2160/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,medium / 1024-x-768,None,,,,0.037,≈,按张价由数据源换算得出：LiteLLM 把「medium / 1024-x-768」这一档的用量折算为 $0.037/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/medium/1024-x-768/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,medium / 1920-x-1080,None,,,,0.04,≈,按张价由数据源换算得出：LiteLLM 把「medium / 1920-x-1080」这一档的用量折算为 $0.04/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/medium/1920-x-1080/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,medium / 1024-x-1536,None,,,,0.042,≈,按张价由数据源换算得出：LiteLLM 把「medium / 1024-x-1536」这一档的用量折算为 $0.042/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/medium/1024-x-1536/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,medium / 1024-x-1024,None,,,,0.053,≈,按张价由数据源换算得出：LiteLLM 把「medium / 1024-x-1024」这一档的用量折算为 $0.053/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/medium/1024-x-1024/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,medium / 2560-x-1440,None,,,,0.056,≈,按张价由数据源换算得出：LiteLLM 把「medium / 2560-x-1440」这一档的用量折算为 $0.056/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/medium/2560-x-1440/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,medium / 3840-x-2160,None,,,,0.101,≈,按张价由数据源换算得出：LiteLLM 把「medium / 3840-x-2160」这一档的用量折算为 $0.101/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/medium/3840-x-2160/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,high / 1024-x-768,None,,,,0.145,≈,按张价由数据源换算得出：LiteLLM 把「high / 1024-x-768」这一档的用量折算为 $0.145/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/high/1024-x-768/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,high / 1920-x-1080,None,,,,0.158,≈,按张价由数据源换算得出：LiteLLM 把「high / 1920-x-1080」这一档的用量折算为 $0.158/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/high/1920-x-1080/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,high / 1024-x-1536,None,,,,0.165,≈,按张价由数据源换算得出：LiteLLM 把「high / 1024-x-1536」这一档的用量折算为 $0.165/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/high/1024-x-1536/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,high / 1024-x-1024,None,,,,0.211,≈,按张价由数据源换算得出：LiteLLM 把「high / 1024-x-1024」这一档的用量折算为 $0.211/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/high/1024-x-1024/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,high / 2560-x-1440,None,,,,0.222,≈,按张价由数据源换算得出：LiteLLM 把「high / 2560-x-1440」这一档的用量折算为 $0.222/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/high/2560-x-1440/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
GPT Image 2,gpt-image-2,OpenAI,Image Generation,text | image,modelsdev,https://models.dev,,,Online: ChatGPT / API,No,online,stable,0,proprietary,got,hosted,USD,,high / 3840-x-2160,None,,,,0.401,≈,按张价由数据源换算得出：LiteLLM 把「high / 3840-x-2160」这一档的用量折算为 $0.401/张；厂商本身按 token（或步数）计费，并未公布该档位的按张牌价。原始键 fal_ai/high/3840-x-2160/openai/gpt-image-2,fal_ai,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-29
Gemini 2.5 Flash Image,gemini-2.5-flash-image,Google,Image Generation,text | image,modelsdev,https://models.dev,,,Online: Gemini API,No,online,stable,0,proprietary,got,official,USD,32768,,got,0.039,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.039,,,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,2026-08-29
Gemini 3 Pro Image,gemini-3-pro-image,Google,Image Generation,text | image,modelsdev,https://models.dev,,,Online: Gemini API (Stable),Yes,online,stable,0,proprietary,got,official,USD,65536,,got,0.134,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.134,,,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,2026-08-29
Gemini 3.1 Flash Image,gemini-3.1-flash-image,Google,Image Generation,text | image | video | pdf,modelsdev,https://models.dev,,,Online: Gemini API (Stable),No,online,stable,0,proprietary,got,official,USD,65536,,got,0.045,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.045,,,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,2026-08-29
