display_name,Model,Company,Function,On/Off Line,Reasoning,access_mode,lifecycle,is_open_weight,weights,price_status,price_kind,currency,pricing_tier,billing_unit,official_price,video_unit_official_price_usd,video_unit_official_provider,video_unit_official_source_url,video_unit_cheapest_price_usd,video_unit_cheapest_seller,video_unit_cheapest_seller_url,video_unit_cheapest_provider,video_unit_cheapest_source_url,video_unit_quote_count,fetched_at
CogVideoX 3,CogVideoX-3,Zhipu AI / GLM,Video Generation,Online: BigModel API,No,online,stable,0,proprietary,got,official,USD,,per_video,got,0.2,Zhipu AI / GLM 官方文档,https://docs.z.ai/guides/overview/pricing.md,0.2,zhipu,https://docs.z.ai/guides/overview/pricing,Zhipu AI / GLM 官方文档,https://docs.z.ai/guides/overview/pricing.md,1,2026-09-04
MiniMax Hailuo 2.3,MiniMax-Hailuo-2.3,MiniMax,Video Generation,Online: MiniMax API (Legacy),No,online,legacy,0,proprietary,got,official,USD,"768p, 6s",per_video,got,0.28,MiniMax Video 官方按量价格（人工核验）,https://platform.minimax.io/docs/guides/pricing-paygo,0.28,minimax,https://platform.minimax.io/docs/guides/models-intro,MiniMax Video 官方按量价格（人工核验）,https://platform.minimax.io/docs/guides/pricing-paygo,1,2026-08-27
MiniMax Hailuo 2.3 Fast,MiniMax-Hailuo-2.3-Fast,MiniMax,Video Generation,Online: MiniMax API (Legacy),No,online,legacy,0,proprietary,got,official,USD,"768p, 6s",per_video,got,0.19,MiniMax Video 官方按量价格（人工核验）,https://platform.minimax.io/docs/guides/pricing-paygo,0.19,minimax,https://platform.minimax.io/docs/guides/models-intro,MiniMax Video 官方按量价格（人工核验）,https://platform.minimax.io/docs/guides/pricing-paygo,1,2026-08-27
MiniMax Hailuo 02,MiniMax-Hailuo-02,MiniMax,Video Generation,Online: MiniMax API (Legacy),No,online,legacy,0,proprietary,got,official,USD,"512p, 6s",per_video,got,0.1,MiniMax Video 官方按量价格（人工核验）,https://platform.minimax.io/docs/guides/pricing-paygo,0.1,minimax,https://platform.minimax.io/docs/guides/models-intro,MiniMax Video 官方按量价格（人工核验）,https://platform.minimax.io/docs/guides/pricing-paygo,1,2026-08-27
Ray 3.2,ray-3.2,Luma AI,Video Generation,Online: Luma Agents API,No,online,stable,0,proprietary,got,official,USD,"video generation, 1080p, 5s, SDR",per_video,got,1.2,Luma Agents Ray 3.2 官方价格（人工核验）,https://docs.agents.lumalabs.ai/guides/pricing,1.2,luma,https://docs.agents.lumalabs.ai/guides/pricing,Luma Agents Ray 3.2 官方价格（人工核验）,https://docs.agents.lumalabs.ai/guides/pricing,1,2026-08-27
Ray 3.2,ray-3.2,Luma AI,Video Generation,Online: Luma Agents API,No,online,stable,0,proprietary,got,official,USD,"video generation, 360p, 5s, SDR",per_video,got,0.06,Luma Agents Ray 3.2 官方价格（人工核验）,https://docs.agents.lumalabs.ai/guides/pricing,0.06,luma,https://docs.agents.lumalabs.ai/guides/pricing,Luma Agents Ray 3.2 官方价格（人工核验）,https://docs.agents.lumalabs.ai/guides/pricing,1,2026-08-27
Ray 3.2,ray-3.2,Luma AI,Video Generation,Online: Luma Agents API,No,online,stable,0,proprietary,got,official,USD,"video generation, 720p, 5s, SDR",per_video,got,0.3,Luma Agents Ray 3.2 官方价格（人工核验）,https://docs.agents.lumalabs.ai/guides/pricing,0.3,luma,https://docs.agents.lumalabs.ai/guides/pricing,Luma Agents Ray 3.2 官方价格（人工核验）,https://docs.agents.lumalabs.ai/guides/pricing,1,2026-08-27
Viduq2,viduq2,ShengShu / Vidu,Video Generation,Online: Vidu API,No,online,stable,0,proprietary,got,official,USD,"text-to-video, 540p",per_call,got,0.05,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,0.05,vidu,https://platform.vidu.com/docs/pricing,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,1,2026-08-27
Viduq2 Pro,viduq2-pro,ShengShu / Vidu,Video Generation,Online: Vidu API,No,online,stable,0,proprietary,got,official,USD,"image/start-end-to-video, 540p",per_call,got,0.04,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,0.04,vidu,https://platform.vidu.com/docs/pricing,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,1,2026-08-27
Viduq2 Turbo,viduq2-turbo,ShengShu / Vidu,Video Generation,Online: Vidu API,No,online,stable,0,proprietary,got,official,USD,"image/start-end-to-video, 540p",per_call,got,0.03,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,0.03,vidu,https://platform.vidu.com/docs/pricing,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,1,2026-08-27
Viduq2 Pro Fast,viduq2-pro-fast,ShengShu / Vidu,Video Generation,Online: Vidu API,No,online,stable,0,proprietary,got,official,USD,"image/start-end-to-video, 720p",per_call,got,0.04,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,0.04,vidu,https://platform.vidu.com/docs/pricing,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,1,2026-08-27
