display_name,Model,Company,Function,Total Para,Activate Para,On/Off Line,Reasoning,access_mode,lifecycle,is_open_weight,weights,price_status,price_kind,currency,context_tier,official_price,text_official_input_per_1m_usd,text_official_input_fx_marker,text_official_input_fx_note,text_official_input_fx_source_url,text_official_output_per_1m_usd,text_official_provider,text_official_source_url,text_cheapest_input_per_1m_usd,text_cheapest_input_fx_marker,text_cheapest_input_fx_note,text_cheapest_input_fx_source_url,text_cheapest_input_seller,text_cheapest_input_seller_url,text_cheapest_input_provider,text_cheapest_input_source_url,text_cheapest_output_per_1m_usd,text_cheapest_output_seller,text_cheapest_output_seller_url,text_cheapest_output_provider,text_cheapest_output_source_url,text_quote_count,audio_official_input_per_1m_usd,audio_official_output_per_1m_usd,audio_official_provider,audio_official_source_url,audio_cheapest_input_per_1m_usd,audio_cheapest_input_seller,audio_cheapest_input_seller_url,audio_cheapest_input_provider,audio_cheapest_input_source_url,audio_quote_count,fetched_at
GPT Audio 1.5,gpt-audio-1.5,OpenAI,Speech & Audio,,,Online: API,No,online,stable,0,proprietary,got,official,USD,128000,got,2.5,,,,10,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,2.5,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,10,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,3,32,64,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,32,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,1,2026-08-31
GPT Realtime 1.5,gpt-realtime-1.5,OpenAI,Speech & Audio,,,Online: Realtime API,No,online,stable,0,proprietary,got,official,USD,32000,got,4,,,,16,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,4,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,16,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,6,32,64,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,32,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,1,2026-08-31
GPT Realtime 2,gpt-realtime-2,OpenAI,Speech & Audio,,,Online: Realtime API,Yes,online,stable,0,proprietary,got,official,USD,32000,got,4,,,,24,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,4,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,16,openai,https://platform.openai.com/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,4,32,64,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,32,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,1,2026-08-31
GPT Realtime 2.1,gpt-realtime-2.1,OpenAI,Speech & Audio,,,Online: Realtime API,Yes,online,stable,0,proprietary,got,official,USD,128000,got,4,,,,24,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,4,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,24,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,5,32,64,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,32,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,1,2026-08-31
GPT Realtime 2.1 Mini,gpt-realtime-2.1-mini,OpenAI,Speech & Audio,,,Online: Realtime API,Yes,online,stable,0,proprietary,got,official,USD,128000,got,0.6,,,,2.4,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,0.6,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,2.4,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,2,10,20,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,10,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,1,2026-08-31
GPT Realtime Whisper,gpt-realtime-whisper,OpenAI,Speech & Audio,,,Online: Realtime API,No,online,stable,0,proprietary,got,hosted,USD,,None,,,,,,,,0.0002,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,,,,,,1,,,,,,,,,,,2026-08-31
Whisper Large V3,whisper-large-v3,OpenAI,Speech & Audio,1.55,1.55,Offline: Open Weight,No,offline,stable,1,free,got,hosted,USD,448,weight open source,,,,,,,,0.0023,,,,evroc,https://docs.evroc.com/products/think/overview.html,models.dev,https://models.dev/api.json,0.0023,evroc,https://docs.evroc.com/products/think/overview.html,models.dev,https://models.dev/api.json,4,,,,,,,,,,,2026-08-31
Gemini 2.5 Flash Native Audio Preview 12 2025,gemini-2.5-flash-native-audio-preview-12-2025,Google,Speech & Audio,,,Online: Gemini Live API (Preview),Yes,online,preview,0,proprietary,got,official,USD,1048576,got,0.5,,,,2,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.5,,,,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,,,,,,,,,,,2026-08-31
Gemini 2.5 Flash Preview TTS,gemini-2.5-flash-preview-tts,Google,Speech & Audio,,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,official,USD,8192,got,0.5,,,,10,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.5,,,,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,10,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,,,,,,,,,,,2026-08-31
Gemini 2.5 Pro Preview TTS,gemini-2.5-pro-preview-tts,Google,Speech & Audio,,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,official,USD,1048576,got,1,,,,20,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,,,,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,20,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,3,,,,,,,,,,,2026-08-31
