display_name,Model,Company,Function,input_modalities,input_modalities_source,input_modalities_source_url,Total Para,Activate Para,On/Off Line,Reasoning,access_mode,lifecycle,is_open_weight,weights,price_status,official_price
ERNIE Image,ERNIE-Image,Baidu / ERNIE,Image Generation,text,official_model_doc,https://huggingface.co/baidu/ERNIE-Image,8,8,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
HunyuanImage,HunyuanImage,Tencent / Hunyuan,Image Generation,text,official_model_doc,https://huggingface.co/Tencent-Hunyuan/HunyuanDiT,,,Online / Open Weight,No,both,stable,1,free,weights_free,weight open source
Hunyuan3D 2,tencent/Hunyuan3D-2,Tencent / Hunyuan,Image Generation,text | image,official_model_doc,https://huggingface.co/tencent/Hunyuan3D-2,,,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Motif Image 6B Preview,Motif-Technologies/Motif-Image-6B-Preview,Motif Technologies,Image Generation,text,official_model_doc,https://huggingface.co/Motif-Technologies/Motif-Image-6B-Preview,6,6,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
LongCat Image Edit Turbo,meituan-longcat/LongCat-Image-Edit-Turbo,Meituan / LongCat,Image Generation,text | image,official_model_doc,https://huggingface.co/meituan-longcat/LongCat-Image-Edit-Turbo,,,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
LongCat Image,meituan-longcat/LongCat-Image,Meituan / LongCat,Image Generation,text,official_model_doc,https://huggingface.co/meituan-longcat/LongCat-Image,,,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
LongCat Image Edit,meituan-longcat/LongCat-Image-Edit,Meituan / LongCat,Image Generation,text | image,official_model_doc,https://huggingface.co/meituan-longcat/LongCat-Image-Edit,,,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
LongCat Image Dev,meituan-longcat/LongCat-Image-Dev,Meituan / LongCat,Image Generation,text,official_model_doc,https://huggingface.co/meituan-longcat/LongCat-Image-Dev,,,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
FLUX.1 Krea Dev,black-forest-labs/FLUX.1-Krea-dev,Black Forest Labs,Image Generation,text,official_model_doc,https://huggingface.co/black-forest-labs/FLUX.1-Krea-dev,12,12,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Stable Diffusion 3.5 Large Turbo,stabilityai/stable-diffusion-3.5-large-turbo,Stability AI,Image Generation,text,official_model_doc,https://huggingface.co/stabilityai/stable-diffusion-3.5-large-turbo,8,8,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Stable Diffusion 3 Medium,stabilityai/stable-diffusion-3-medium,Stability AI,Image Generation,text,official_model_doc,https://huggingface.co/stabilityai/stable-diffusion-3-medium,2,2,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Stable Diffusion XL Base 1.0,stabilityai/stable-diffusion-xl-base-1.0,Stability AI,Image Generation,text,official_model_doc,https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0,3.5,3.5,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Stable Diffusion V1 5,runwayml/stable-diffusion-v1-5,Stability AI,Image Generation,text,official_model_doc,https://huggingface.co/runwayml/stable-diffusion-v1-5,0.86,0.86,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
HiDream-O1 Image,HiDream-ai/HiDream-O1-Image,HiDream,Image Generation,text | image,official_model_doc,https://huggingface.co/HiDream-ai/HiDream-O1-Image,8,8,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
HiDream-O1 Image Dev,HiDream-ai/HiDream-O1-Image-Dev,HiDream,Image Generation,text | image,official_model_doc,https://huggingface.co/HiDream-ai/HiDream-O1-Image-Dev,8,8,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
HiDream-I1 Dev,HiDream-ai/HiDream-I1-Dev,HiDream,Image Generation,text,official_model_doc,https://huggingface.co/HiDream-ai/HiDream-I1-Dev,17,17,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
HiDream-I1 Fast,HiDream-ai/HiDream-I1-Fast,HiDream,Image Generation,text,official_model_doc,https://huggingface.co/HiDream-ai/HiDream-I1-Fast,17,17,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
HiDream-E1 Full,HiDream-ai/HiDream-E1-Full,HiDream,Image Generation,text | image,official_model_doc,https://huggingface.co/HiDream-ai/HiDream-E1-Full,17,17,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
HiDream-E1 1,HiDream-ai/HiDream-E1-1,HiDream,Image Generation,text | image,official_model_doc,https://huggingface.co/HiDream-ai/HiDream-E1-1,17,17,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Sana Sprint 1.6B 1024px Diffusers,Efficient-Large-Model/Sana_Sprint_1.6B_1024px_diffusers,NVIDIA,Image Generation,text,official_model_doc,https://huggingface.co/Efficient-Large-Model/Sana_Sprint_1.6B_1024px_diffusers,1.6,1.6,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Lumina Image 2.0,Alpha-VLLM/Lumina-Image-2.0,OpenGVLab,Image Generation,text,official_model_doc,https://huggingface.co/Alpha-VLLM/Lumina-Image-2.0,2.6,2.6,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
