display_name,Model,Company,Function,input_modalities,input_modalities_source,input_modalities_source_url,Total Para,Activate Para,On/Off Line,Reasoning,access_mode,lifecycle,is_open_weight,weights,price_status,price_kind,currency,context_tier,official_price,text_official_input_per_1m_usd,text_official_input_fx_marker,text_official_input_fx_note,text_official_input_fx_source_url,text_official_provider,text_official_source_url,text_cheapest_input_per_1m_usd,text_cheapest_input_fx_marker,text_cheapest_input_fx_note,text_cheapest_input_fx_source_url,text_cheapest_input_seller,text_cheapest_input_seller_url,text_cheapest_input_provider,text_cheapest_input_source_url,text_quote_count,fetched_at
Text Embedding 3 Large,text-embedding-3-large,OpenAI,Embedding,text,modelsdev,https://models.dev,,,Online: API,No,online,stable,0,proprietary,got,official,USD,8191,got,0.13,,,,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,0.09,,,,sap-ai-core,https://help.sap.com/docs/sap-ai-core/generative-ai/supported-models,models.dev,https://models.dev/api.json,10,2026-09-05
Text Embedding 3 Small,text-embedding-3-small,OpenAI,Embedding,text,modelsdev,https://models.dev,,,Online: API,No,online,stable,0,proprietary,got,official,USD,8191,got,0.02,,,,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,0.02,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,10,2026-09-05
Text Embedding Ada 002,text-embedding-ada-002,OpenAI,Embedding,text,modelsdev,https://models.dev,,,Online: API,No,online,stable,0,proprietary,got,official,USD,8192,got,0.1,,,,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,0.1,,,,azure,https://ai.azure.com/explore/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,8,2026-09-05
EmbeddingGemma,EmbeddingGemma,Google,Embedding,text,official_family_catalog,https://huggingface.co/google/models,0.308,0.308,Offline: Open Weight,No,offline,stable,1,free,weights_free,,,,weight open source,,,,,,,,,,,,,,,,
Gemini Embedding 001,gemini-embedding-001,Google,Embedding,text,modelsdev,https://models.dev,,,Online: Gemini API,No,online,stable,0,proprietary,got,official,USD,2048,got,0.15,,,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.15,,,,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,7,2026-09-05
Gemini Embedding 2 Preview,gemini-embedding-2-preview,Google,Embedding,text,litellm,https://github.com/BerriAI/litellm,,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,official,USD,8192,got,0.2,,,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.2,,,,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,4,2026-09-05
Codestral Embed,Codestral Embed,Mistral AI,Embedding,text,litellm,https://github.com/BerriAI/litellm,,,Online: API,No,online,stable,0,proprietary,got,official,USD,8192,got,0.15,,,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.15,,,,mistral,https://docs.mistral.ai/getting-started/models/,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,3,2026-09-05
Mistral Embed,Mistral Embed,Mistral AI,Embedding,text,modelsdev,https://models.dev,,,Online: API,No,online,stable,0,proprietary,got,official,USD,8000,got,0.1,,,,models.dev,https://models.dev/api.json,0.1,,,,mistral,https://docs.mistral.ai/getting-started/models/,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,4,2026-09-05
Qwen3 Embedding 0.6B,Qwen/Qwen3-Embedding-0.6B,Alibaba / Qwen,Embedding,text,litellm,https://github.com/BerriAI/litellm,0.6,0.6,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,32768,weight open source,,,,,,,0.01,,,,nearai,https://docs.near.ai/,models.dev,https://models.dev/api.json,5,2026-09-05
Qwen3 Embedding 4B,Qwen/Qwen3-Embedding-4B,Alibaba / Qwen,Embedding,text,litellm,https://github.com/BerriAI/litellm,4,4,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,32000,weight open source,,,,,,,0.01,,,,huggingface,https://huggingface.co/docs/inference-providers,models.dev,https://models.dev/api.json,5,2026-09-05
