display_name,Model,Company,Function,Total Para,Activate Para,On/Off Line,Reasoning,access_mode,lifecycle,is_open_weight,weights,price_status,price_kind,currency,billing_unit,billing_basis,official_price,audio_unit_official_price_usd,audio_unit_official_fx_marker,audio_unit_official_fx_note,audio_unit_official_fx_source_url,audio_unit_official_provider,audio_unit_official_source_url,audio_unit_cheapest_price_usd,audio_unit_cheapest_fx_marker,audio_unit_cheapest_fx_note,audio_unit_cheapest_fx_source_url,audio_unit_cheapest_seller,audio_unit_cheapest_seller_url,audio_unit_cheapest_provider,audio_unit_cheapest_source_url,audio_unit_quote_count,fetched_at
GLM TTS,GLM-TTS,Zhipu AI / GLM,Speech & Audio,,,Online: BigModel API,No,online,stable,0,proprietary,got,official,USD,per_1m_chars,,got,29.766,⇄,CNY 200 → USD 29.766; 1 CNY = 0.14883012 USD (ECB 2026-09-03),https://www.ecb.europa.eu/stats/eurofxref/eurofxref-daily.xml,Zhipu BigModel,https://open.bigmodel.cn/pricing,29.766,⇄,CNY 200 → USD 29.766; 1 CNY = 0.14883012 USD (ECB 2026-09-03),https://www.ecb.europa.eu/stats/eurofxref/eurofxref-daily.xml,Zhipu BigModel,https://open.bigmodel.cn/pricing,Zhipu BigModel,https://open.bigmodel.cn/pricing,1,2026-09-04
Orpheus 3B 0.1 Ft,canopylabs/orpheus-3b-0.1-ft,Canopy Labs,Speech & Audio,3.8,3.8,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,per_1m_chars,,weight open source,,,,,,,7,,,,DeepInfra,https://deepinfra.com/canopylabs/orpheus-3b-0.1-ft,DeepInfra,https://deepinfra.com/models,1,2026-09-04
Kokoro 82M,hexgrad/Kokoro-82M,Hexgrad,Speech & Audio,,,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,per_1m_chars,,weight open source,,,,,,,0.62,,,,DeepInfra,https://deepinfra.com/hexgrad/Kokoro-82M,DeepInfra,https://deepinfra.com/models,1,2026-09-04
Chatterbox Multilingual,ResembleAI/chatterbox-multilingual,Resemble AI,Speech & Audio,,,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,per_1m_chars,,weight open source,,,,,,,1,,,,DeepInfra,https://deepinfra.com/ResembleAI/chatterbox-multilingual,DeepInfra,https://deepinfra.com/models,1,2026-09-04
Chatterbox Turbo,ResembleAI/chatterbox-turbo,Resemble AI,Speech & Audio,,,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,per_1m_chars,,weight open source,,,,,,,1,,,,DeepInfra,https://deepinfra.com/ResembleAI/chatterbox-turbo,DeepInfra,https://deepinfra.com/models,1,2026-09-04
Csm 1B,sesame/csm-1b,Sesame AI,Speech & Audio,1.6,1.6,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,per_1m_chars,,weight open source,,,,,,,7,,,,DeepInfra,https://deepinfra.com/sesame/csm-1b,DeepInfra,https://deepinfra.com/models,1,2026-09-04
Higgsaudiov2.5,bosonai/HiggsAudioV2.5,Boson AI,Speech & Audio,,,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,per_1m_chars,,weight open source,,,,,,,20,,,,DeepInfra,https://deepinfra.com/bosonai/HiggsAudioV2.5,DeepInfra,https://deepinfra.com/models,1,2026-09-04
Qwen3 TTS,Qwen/Qwen3-TTS,Alibaba / Qwen,Speech & Audio,,,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,per_1m_chars,,weight open source,,,,,,,20,,,,DeepInfra,https://deepinfra.com/Qwen/Qwen3-TTS,DeepInfra,https://deepinfra.com/models,1,2026-09-04
Qwen3 TTS VoiceDesign,Qwen/Qwen3-TTS-VoiceDesign,Alibaba / Qwen,Speech & Audio,,,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,per_1m_chars,,weight open source,,,,,,,20,,,,DeepInfra,https://deepinfra.com/Qwen/Qwen3-TTS-VoiceDesign,DeepInfra,https://deepinfra.com/models,1,2026-09-04
Audio8 TTS Preview 0.6B,Audio8/Audio8-TTS-Preview-0.6b,Audio8,Speech & Audio,,,Online: API,No,online,stable,0,proprietary,got,hosted,USD,per_1m_chars,,None,,,,,,,5,,,,DeepInfra,https://deepinfra.com/Audio8/Audio8-TTS-Preview-0.6b,DeepInfra,https://deepinfra.com/models,1,2026-09-04
Realtime TTS 1.5 Max,inworld-ai/realtime-tts-1.5-max,Inworld AI,Speech & Audio,,,Online: API,No,online,stable,0,proprietary,got,hosted,USD,per_1m_chars,,None,,,,,,,50,,,,DeepInfra,https://deepinfra.com/inworld-ai/realtime-tts-1.5-max,DeepInfra,https://deepinfra.com/models,1,2026-09-04
Realtime TTS 1.5 Mini,inworld-ai/realtime-tts-1.5-mini,Inworld AI,Speech & Audio,,,Online: API,No,online,stable,0,proprietary,got,hosted,USD,per_1m_chars,,None,,,,,,,25,,,,DeepInfra,https://deepinfra.com/inworld-ai/realtime-tts-1.5-mini,DeepInfra,https://deepinfra.com/models,1,2026-09-04
Realtime TTS 2,inworld-ai/realtime-tts-2,Inworld AI,Speech & Audio,,,Online: API,No,online,stable,0,proprietary,got,hosted,USD,per_1m_chars,,None,,,,,,,35,,,,DeepInfra,https://deepinfra.com/inworld-ai/realtime-tts-2,DeepInfra,https://deepinfra.com/models,1,2026-09-04
Speech 2.8 HD,speech-2.8-hd,MiniMax,Speech & Audio,,,Online: API,No,online,stable,0,proprietary,got,official,USD,per_1m_chars,,got,52.0905,⇄,CNY 350 → USD 52.0905; 1 CNY = 0.14883012 USD (ECB 2026-09-03),https://www.ecb.europa.eu/stats/eurofxref/eurofxref-daily.xml,MiniMax,https://platform.minimaxi.com/docs/guides/pricing-paygo,52.0905,⇄,CNY 350 → USD 52.0905; 1 CNY = 0.14883012 USD (ECB 2026-09-03),https://www.ecb.europa.eu/stats/eurofxref/eurofxref-daily.xml,MiniMax,https://platform.minimaxi.com/docs/guides/pricing-paygo,MiniMax,https://platform.minimaxi.com/docs/guides/pricing-paygo,1,2026-09-04
