display_name,Model,Company,Function,Total Para,On/Off Line,Reasoning,access_mode,lifecycle,is_open_weight,weights,price_status,price_kind,currency,pricing_tier,billing_unit,official_price,video_unit_official_price_usd,video_unit_official_fx_marker,video_unit_official_fx_note,video_unit_official_fx_source_url,video_unit_official_provider,video_unit_official_source_url,video_unit_cheapest_price_usd,video_unit_cheapest_fx_marker,video_unit_cheapest_fx_note,video_unit_cheapest_fx_source_url,video_unit_cheapest_seller,video_unit_cheapest_seller_url,video_unit_cheapest_provider,video_unit_cheapest_source_url,video_unit_quote_count,fetched_at
Gemini Omni 1.1 Flash,gemini-omni-1.1-flash,Google,Video Generation,,Online: Gemini API (Production),No,online,stable,0,proprietary,got,official,USD,1080p,per_second,got,0.15,,,,Google Gemini Omni 1.1 Flash 官方价格（人工核验）,https://blog.google/innovation-and-ai/technology/developers-tools/build-with-gemini-omni-1-1-flash/,0.15,,,,google-gemini-api,https://blog.google/innovation-and-ai/technology/developers-tools/build-with-gemini-omni-1-1-flash/,Google Gemini Omni 1.1 Flash 官方价格（人工核验）,https://blog.google/innovation-and-ai/technology/developers-tools/build-with-gemini-omni-1-1-flash/,2,2026-08-29
Gemini Omni 1.1 Flash,gemini-omni-1.1-flash,Google,Video Generation,,Online: Gemini API (Production),No,online,stable,0,proprietary,got,official,USD,360p,per_second,got,0.03,,,,Google Gemini Omni 1.1 Flash 官方价格（人工核验）,https://blog.google/innovation-and-ai/technology/developers-tools/build-with-gemini-omni-1-1-flash/,0.03,,,,google-gemini-api,https://blog.google/innovation-and-ai/technology/developers-tools/build-with-gemini-omni-1-1-flash/,Google Gemini Omni 1.1 Flash 官方价格（人工核验）,https://blog.google/innovation-and-ai/technology/developers-tools/build-with-gemini-omni-1-1-flash/,2,2026-08-29
Gemini Omni 1.1 Flash,gemini-omni-1.1-flash,Google,Video Generation,,Online: Gemini API (Production),No,online,stable,0,proprietary,got,official,USD,4K,per_second,got,0.3,,,,Google Gemini Omni 1.1 Flash 官方价格（人工核验）,https://blog.google/innovation-and-ai/technology/developers-tools/build-with-gemini-omni-1-1-flash/,0.3,,,,google-gemini-api,https://blog.google/innovation-and-ai/technology/developers-tools/build-with-gemini-omni-1-1-flash/,Google Gemini Omni 1.1 Flash 官方价格（人工核验）,https://blog.google/innovation-and-ai/technology/developers-tools/build-with-gemini-omni-1-1-flash/,2,2026-08-29
Gemini Omni 1.1 Flash,gemini-omni-1.1-flash,Google,Video Generation,,Online: Gemini API (Production),No,online,stable,0,proprietary,got,official,USD,720p,per_second,got,0.1,,,,Google Gemini Omni 1.1 Flash 官方价格（人工核验）,https://blog.google/innovation-and-ai/technology/developers-tools/build-with-gemini-omni-1-1-flash/,0.1,,,,google-gemini-api,https://blog.google/innovation-and-ai/technology/developers-tools/build-with-gemini-omni-1-1-flash/,Google Gemini Omni 1.1 Flash 官方价格（人工核验）,https://blog.google/innovation-and-ai/technology/developers-tools/build-with-gemini-omni-1-1-flash/,3,2026-08-29
Veo 3.1 Generate Preview,veo-3.1-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,official,USD,,per_second,got,0.4,,,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.4,,,,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,2026-08-30
Veo 3.1 Generate Preview,veo-3.1-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,official,USD,"4K, audio",per_second,got,0.6,,,,Google Gemini API Veo 官方价格（人工核验）,https://ai.google.dev/gemini-api/docs/pricing,0.6,,,,google-gemini-api,https://ai.google.dev/gemini-api/docs/pricing,Google Gemini API Veo 官方价格（人工核验）,https://ai.google.dev/gemini-api/docs/pricing,1,2026-08-27
Veo 3.1 Generate Preview,veo-3.1-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,official,USD,"720p/1080p, audio",per_second,got,0.4,,,,Google Gemini API Veo 官方价格（人工核验）,https://ai.google.dev/gemini-api/docs/pricing,0.4,,,,google-gemini-api,https://ai.google.dev/gemini-api/docs/pricing,Google Gemini API Veo 官方价格（人工核验）,https://ai.google.dev/gemini-api/docs/pricing,1,2026-08-27
Veo 3.1 Generate Preview,veo-3.1-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,hosted,USD,"resolution=1080p, audio=False",per_second,None,,,,,,,0.2,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Veo 3.1 Generate Preview,veo-3.1-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,hosted,USD,"resolution=1080p, audio=True",per_second,None,,,,,,,0.4,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Veo 3.1 Generate Preview,veo-3.1-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,hosted,USD,"resolution=4k, audio=False",per_second,None,,,,,,,0.4,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Veo 3.1 Generate Preview,veo-3.1-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,hosted,USD,"resolution=4k, audio=True",per_second,None,,,,,,,0.6,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Veo 3.1 Generate Preview,veo-3.1-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,hosted,USD,"resolution=720p, audio=False",per_second,None,,,,,,,0.2,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Veo 3.1 Generate Preview,veo-3.1-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,hosted,USD,"resolution=720p, audio=True",per_second,None,,,,,,,0.4,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Veo 3.1 Lite Generate Preview,veo-3.1-lite-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,official,USD,,per_second,got,0.05,,,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.05,,,,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-30
Veo 3.1 Lite Generate Preview,veo-3.1-lite-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,official,USD,"1080p, audio",per_second,got,0.08,,,,Google Gemini API Veo 官方价格（人工核验）,https://ai.google.dev/gemini-api/docs/pricing,0.08,,,,google-gemini-api,https://ai.google.dev/gemini-api/docs/pricing,Google Gemini API Veo 官方价格（人工核验）,https://ai.google.dev/gemini-api/docs/pricing,1,2026-08-27
Veo 3.1 Lite Generate Preview,veo-3.1-lite-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,official,USD,"720p, audio",per_second,got,0.05,,,,Google Gemini API Veo 官方价格（人工核验）,https://ai.google.dev/gemini-api/docs/pricing,0.05,,,,google-gemini-api,https://ai.google.dev/gemini-api/docs/pricing,Google Gemini API Veo 官方价格（人工核验）,https://ai.google.dev/gemini-api/docs/pricing,1,2026-08-27
Veo 3.1 Lite Generate Preview,veo-3.1-lite-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,hosted,USD,"resolution=1080p, audio=False",per_second,None,,,,,,,0.05,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Veo 3.1 Lite Generate Preview,veo-3.1-lite-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,hosted,USD,"resolution=1080p, audio=True",per_second,None,,,,,,,0.08,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Veo 3.1 Lite Generate Preview,veo-3.1-lite-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,hosted,USD,"resolution=720p, audio=False",per_second,None,,,,,,,0.03,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
