display_name,Model,Company,Function,Total Para,Activate Para,On/Off Line,Reasoning,access_mode,lifecycle,is_open_weight,weights,price_status,official_price
Whisper Base En,whisper-base.en,OpenAI,Speech & Audio,0.074,0.074,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Whisper Large V1,whisper-large-v1,OpenAI,Speech & Audio,1.55,1.55,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Whisper Large V2,whisper-large-v2,OpenAI,Speech & Audio,1.55,1.55,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Whisper Medium En,whisper-medium.en,OpenAI,Speech & Audio,0.769,0.769,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Whisper Small En,whisper-small.en,OpenAI,Speech & Audio,0.244,0.244,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Whisper Tiny En,whisper-tiny.en,OpenAI,Speech & Audio,0.039,0.039,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Whisper Turbo,whisper-turbo,OpenAI,Speech & Audio,0.798,0.798,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Qwen3 ForcedAligner 0.6B,Qwen/Qwen3-ForcedAligner-0.6B,Alibaba / Qwen,Speech & Audio,0.6,0.6,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Qwen3 TTS 12hz 0.6B Base,Qwen/Qwen3-TTS-12Hz-0.6B-Base,Alibaba / Qwen,Speech & Audio,0.6,0.6,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Qwen3 TTS 12hz 0.6B CustomVoice,Qwen/Qwen3-TTS-12Hz-0.6B-CustomVoice,Alibaba / Qwen,Speech & Audio,0.6,0.6,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Qwen3 TTS 12hz 1.7B Base,Qwen/Qwen3-TTS-12Hz-1.7B-Base,Alibaba / Qwen,Speech & Audio,1.7,1.7,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Qwen3 TTS 12hz 1.7B CustomVoice,Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,Alibaba / Qwen,Speech & Audio,1.7,1.7,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Qwen3 TTS 12hz 1.7B VoiceDesign,Qwen/Qwen3-TTS-12Hz-1.7B-VoiceDesign,Alibaba / Qwen,Speech & Audio,1.7,1.7,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
