title,venue,published_at,first_seen_at,source_updated_at,group,category,subcategories,paper_url,arxiv_id,doi,source_repos,metadata_sources
ATCMD-Bench: Agentic Traditional Chinese Medicine diagnosis benchmark for Large Language Models via multi-agent simulation,Venue not specified,2026-11,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Traditional Chinese Medical LLM,https://doi.org/10.1016/j.patcog.2026.113679,,10.1016/j.patcog.2026.113679,tyang816/Awesome-TCM-LLM,source README | Crossref
SlideBank: A Persistent Hierarchical Evidence Bank for Consistent Whole-Slide Reasoning,arXiv,2026-09,2026-09-03,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Imaging Agents,https://arxiv.org/abs/2609.00342,2609.00342,,Nanboy-Ronan/awesome-medical-imaging-agents,source README | arXiv identifier
Benchmarking large language models for end-to-end clinical support in traditional chinese medicine,Venue not specified,2026-09,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Traditional Chinese Medical LLM,https://doi.org/10.1016/j.eswa.2026.132267,,10.1016/j.eswa.2026.132267,tyang816/Awesome-TCM-LLM,source README | Crossref
Artificial intelligence in traditional Chinese medicine: From multimodal data integration to pharmacological research and clinical decision support,Chi,2026-09,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Traditional Chinese Medical LLM,https://doi.org/10.1016/j.prmcm.2026.100842,,10.1016/j.prmcm.2026.100842,tyang816/Awesome-TCM-LLM,source README | Crossref
"Identify, Locate, Link: End-to-End Key-Value Extraction from Document Images",arXiv,2026-08-21,2026-08-31,2026-09-02,Core Technology,Vision-Language,OCR / Document VLM,https://arxiv.org/abs/2608.20868,2608.20868,,Yuliang-Liu/AWESOME-OCR-LLM,source README | Semantic Scholar
Can a Lightweight Multimodal Model Estimate LLM Reasoning Performance? A Study for Compute-Optimal Document Inference,COLM,2026-08-19,2026-09-01,2026-08-22,Core Technology,Vision-Language,Multimodal Reasoning,https://arxiv.org/abs/2608.18591,2608.18591,,The-Martyr/Awesome-Multimodal-Reasoning,source README | Semantic Scholar
Neurosymbolic Embodied Agents,arXiv,2026-08-17,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.16794,2608.16794,,js-lee-AI/awesome-llm-agent-papers,source README | Semantic Scholar
Hypergraph-based Multimodal Retrieval-Augmented Generation with Incremental Refinement,arXiv,2026-08-17,2026-08-31,2026-09-02,Core Technology,Vision-Language,OCR / Document VLM,https://arxiv.org/abs/2608.16628,2608.16628,,Yuliang-Liu/AWESOME-OCR-LLM,source README | Semantic Scholar
From Positionwise Confidence to Prefix Scheduling: Verifier Skipping in Speculative Decoding,arXiv,2026-08-14,2026-08-29,2026-09-01,Core Technology,Language,Diffusion LLM | Diffusion x Autoregression,https://arxiv.org/abs/2608.14787,2608.14787,,AIDASLab/Awesome-Diffusion-LLM | tuteng0915/awesome-diffusion-ar,source README | Semantic Scholar
DARTree: Speculative Diffusion Decoding with Autoregressive Draft Trees,arXiv,2026-08-13,2026-08-29,2026-08-31,Core Technology,Language,Diffusion LLM | Diffusion x Autoregression,https://arxiv.org/abs/2608.13524,2608.13524,,VILA-Lab/Awesome-DLMs | tuteng0915/awesome-diffusion-ar,source README | Semantic Scholar
